ID|platform|device_users|part_device_users|device_actions|part_device_actions|browser_cnt|part_browser|answers_200|answers_ne200|answers_3XX|answers_4XX|answers_5XX
1|Android 4.2.1|1944|0.01|1944|0.01|1944|0.01|1894.0|50.0|50.0|0.0|0.0
2|Mac OS X 10.9|12|0.0|12|0.0|12|0.0|8.0|4.0|4.0|0.0|0.0
3|Windows 10|315455|0.84|315455|0.84|315455|0.84|306035.0|9420.0|6258.0|3162.0|0.0
4|Windows 8|733530|1.96|733530|1.96|733530|1.96|729630.0|3900.0|450.0|3450.0|0.0
5|Mac OS X 10.7.3|745200|1.99|745200|1.99|745200|1.99|741750.0|3450.0|0.0|3450.0|0.0
6|Android 4.2.2|50856|0.14|50856|0.14|50856|0.14|49379.0|1477.0|443.0|1034.0|0.0
7|iOS 11.2.5|441|0.0|441|0.0|441|0.0|357.0|84.0|0.0|84.0|0.0
8|Android 4.0.4|324|0.0|324|0.0|324|0.0|288.0|36.0|18.0|18.0|0.0
9|Mac OS X 10.13.6|8|0.0|8|0.0|8|0.0|8.0|0.0|0.0|0.0|0.0
10|iOS 7.0|129109|0.34|129109|0.34|129109|0.34|127487.0|1622.0|842.0|780.0|0.0
11|Android 4.4.4|16783|0.04|16783|0.04|16783|0.04|16500.0|283.0|282.0|1.0|0.0
12|Android 5.0.1|3369|0.01|3369|0.01|3369|0.01|3353.0|16.0|16.0|0.0|0.0
13|iOS 11.2.2|1|0.0|1|0.0|1|0.0|1.0|0.0|0.0|0.0|0.0
14|" like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36 GSA/8.23.9.21.arm64"""""""|1|0.0|1|0.0|1|0.0|1.0|0.0|0.0|0.0|0.0
15|Windows 8.1|144079|0.38|144079|0.38|144079|0.38|143229.0|850.0|850.0|0.0|0.0
16|" like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"""""""|3|0.0|3|0.0|3|0.0|3.0|0.0|0.0|0.0|0.0
17|Mac OS X 10.12.6|16|0.0|16|0.0|16|0.0|0.0|16.0|8.0|8.0|0.0
18|Mac OS X 10.10.2|4|0.0|4|0.0|4|0.0|4.0|0.0|0.0|0.0|0.0
19|Windows |1|0.0|1|0.0|1|0.0|0.0|1.0|1.0|0.0|0.0
20|Android 4.1.2 Persian Language By Forum.gpgstore.ir Team|4|0.0|4|0.0|4|0.0|4.0|0.0|0.0|0.0|0.0
21|Mac OS X 10.10.1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1|332930|0.89|332930|0.89|332930|0.89|238302.0|94628.0|87704.0|6924.0|0.0
22|iOS 11.0.3|49|0.0|49|0.0|49|0.0|42.0|7.0|0.0|7.0|0.0
23|Windows 10.0|1469|0.0|1469|0.0|1469|0.0|1469.0|0.0|0.0|0.0|0.0
24|" like Gecko) Chrome/70.0.3538.102 Safari/537.36 OPR/57.0.3098.116"""""""|302|0.0|302|0.0|302|0.0|302.0|0.0|0.0|0.0|0.0
25|Android 6.0|70135|0.19|70135|0.19|70135|0.19|67723.0|2412.0|2310.0|102.0|0.0
26|iOS 10.2|484|0.0|484|0.0|484|0.0|418.0|66.0|44.0|22.0|0.0
27|Android 7.0 SHA|6561|0.02|6561|0.02|6561|0.02|6399.0|162.0|162.0|0.0|0.0
28|iOS 11.4.1|310|0.0|310|0.0|310|0.0|289.0|21.0|4.0|17.0|0.0
29|Android 5.0|19433|0.05|19433|0.05|19433|0.05|18623.0|810.0|0.0|810.0|0.0
30|iOS 12.1.2|65629|0.18|65629|0.18|65629|0.18|64295.0|1334.0|906.0|428.0|0.0
31|Android 4.3|14830|0.04|14830|0.04|14830|0.04|11199.0|3631.0|336.0|3295.0|0.0
32|Windows Vista|1717664|4.59|1717664|4.59|1717664|4.59|1711715.0|5949.0|5949.0|0.0|0.0
33|Windows 95|25|0.0|25|0.0|25|0.0|10.0|15.0|15.0|0.0|0.0
